Index,Red,Green,Blue
0,0,0,0
1,128,0,0
2,0,128,0
3,128,128,0
4,0,0,128
5,128,0,128
6,0,128,128
7,192,192,192
8,192,220,192
9,166,202,240
10,5,1,0
11,10,1,0
12,14,1,0
13,16,1,0
14,17,2,0
15,19,2,0
16,21,2,0
17,23,3,0
18,26,3,0
19,27,3,0
20,29,3,0
21,30,3,0
22,32,4,0
23,33,4,0
24,36,4,0
25,38,4,0
26,40,5,0
27,42,5,0
28,43,5,0
29,45,6,0
30,47,6,0
31,48,6,0
32,51,7,1
33,53,8,1
34,54,8,1
35,56,9,1
36,58,10,1
37,59,10,1
38,61,11,1
39,63,13,1
40,65,14,1
41,67,14,1
42,68,15,1
43,70,16,1
44,71,17,1
45,73,17,1
46,74,18,1
47,76,19,1
48,79,20,1
49,80,21,1
50,81,22,1
51,83,24,1
52,85,25,1
53,86,25,1
54,88,26,1
55,90,27,1
56,92,28,2
57,94,29,2
58,95,29,2
59,97,30,2
60,98,31,2
61,99,32,2
62,101,34,2
63,103,36,2
64,104,37,2
65,107,38,2
66,108,39,2
67,109,40,2
68,111,41,2
69,112,42,2
70,114,43,2
71,115,44,2
72,117,45,2
73,119,46,2
74,121,48,2
75,123,49,2
76,124,50,2
77,125,52,2
78,127,53,2
79,129,54,2
80,130,55,3
81,131,56,3
82,132,57,3
83,134,58,3
84,136,59,3
85,137,60,3
86,139,62,4
87,140,63,4
88,141,65,4
89,143,66,4
90,144,67,4
91,145,68,4
92,146,69,4
93,148,70,5
94,150,72,5
95,151,73,5
96,152,73,5
97,154,75,5
98,156,77,6
99,157,78,6
100,158,79,6
101,159,81,6
102,161,82,6
103,163,83,7
104,164,84,8
105,165,85,8
106,166,87,8
107,167,89,9
108,168,91,9
109,169,93,9
110,170,94,10
111,171,96,10
112,171,98,10
113,172,99,11
114,173,100,11
115,174,101,11
116,175,103,12
117,175,105,12
118,177,107,12
119,178,108,13
120,179,110,13
121,180,112,13
122,181,113,14
123,182,115,14
124,183,116,15
125,183,118,15
126,184,119,15
127,186,122,16
128,187,123,16
129,187,123,16
130,188,125,17
131,189,126,17
132,190,127,18
133,192,129,18
134,193,130,19
135,194,131,20
136,195,133,20
137,195,134,21
138,196,136,22
139,197,137,22
140,199,138,23
141,200,139,24
142,200,140,24
143,201,142,24
144,202,143,25
145,203,145,25
146,204,146,26
147,206,147,27
148,207,149,27
149,208,151,28
150,209,152,28
151,210,153,29
152,211,154,30
153,212,156,31
154,213,157,32
155,213,158,32
156,215,160,34
157,216,161,35
158,216,162,36
159,217,164,38
160,218,166,39
161,219,167,40
162,220,168,41
163,222,170,41
164,223,171,42
165,224,172,43
166,225,173,44
167,225,175,45
168,227,177,47
169,228,179,48
170,229,180,49
171,229,181,50
172,230,182,51
173,231,184,52
174,232,185,53
175,233,186,55
176,234,187,57
177,235,189,59
178,235,190,61
179,236,192,63
180,236,194,65
181,237,195,68
182,237,196,70
183,237,197,72
184,238,199,75
185,238,200,76
186,239,201,79
187,239,202,81
188,239,203,83
189,240,205,86
190,240,206,87
191,241,208,89
192,241,210,91
193,242,211,94
194,242,212,96
195,243,213,99
196,243,214,101
197,243,215,103
198,244,217,105
199,244,217,109
200,244,218,112
201,244,218,114
202,245,220,117
203,245,222,121
204,245,222,124
205,246,223,127
206,246,224,130
207,246,225,132
208,247,226,136
209,247,226,139
210,247,226,141
211,247,227,145
212,248,228,148
213,249,228,151
214,249,229,154
215,250,231,157
216,250,232,160
217,250,232,162
218,250,233,166
219,251,235,170
220,251,236,172
221,251,236,175
222,252,237,179
223,252,237,180
224,252,238,183
225,252,239,186
226,252,239,188
227,252,240,192
228,252,241,194
229,252,242,197
230,252,242,200
231,252,243,202
232,252,243,205
233,252,244,207
234,252,244,209
235,252,245,212
236,252,246,215
237,252,246,217
238,252,247,220
239,252,249,223
240,252,250,226
241,252,250,228
242,252,250,231
243,252,251,234
244,252,252,237
245,0,0,0
246,255,251,240
247,160,160,164
248,128,128,128
249,255,0,0
250,0,255,0
251,255,255,0
252,0,0,255
253,255,0,255
254,0,255,255
255,255,255,255
