Index,Red,Green,Blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,10,10,10
11,10,10,10
12,10,10,10
13,10,10,10
14,11,11,11
15,11,11,11
16,12,12,12
17,12,12,12
18,13,13,13
19,13,13,13
20,14,14,14
21,14,14,14
22,15,15,15
23,15,15,15
24,16,16,16
25,16,16,16
26,17,17,17
27,17,17,17
28,18,18,18
29,18,18,18
30,18,18,18
31,19,19,19
32,20,20,20
33,20,20,20
34,21,21,21
35,21,21,21
36,21,21,21
37,21,21,21
38,22,22,22
39,22,22,22
40,23,23,23
41,23,23,23
42,24,24,24
43,24,24,24
44,25,25,25
45,25,25,25
46,26,26,26
47,26,26,26
48,27,27,27
49,27,27,27
50,27,27,27
51,32,32,32
52,32,32,32
53,32,32,32
54,33,33,33
55,34,34,34
56,34,34,34
57,35,35,35
58,35,35,35
59,36,36,36
60,37,37,37
61,37,37,37
62,38,38,38
63,38,38,38
64,39,39,39
65,40,40,40
66,40,40,40
67,41,41,41
68,41,41,41
69,42,42,42
70,42,42,42
71,59,59,59
72,60,60,60
73,61,61,61
74,62,62,62
75,63,63,63
76,64,64,64
77,65,65,65
78,65,65,65
79,66,66,66
80,67,67,67
81,67,67,67
82,68,68,68
83,69,69,69
84,70,70,70
85,71,71,71
86,72,72,72
87,73,73,73
88,74,74,74
89,75,75,75
90,76,76,76
91,84,84,84
92,85,85,85
93,86,86,86
94,87,87,87
95,88,88,88
96,88,88,88
97,89,89,89
98,90,90,90
99,91,91,91
100,92,92,92
101,93,93,93
102,94,94,94
103,95,95,95
104,96,96,96
105,97,97,97
106,98,98,98
107,99,99,99
108,99,99,99
109,100,100,100
110,101,101,101
111,102,102,102
112,103,103,103
113,104,104,104
114,105,105,105
115,106,106,106
116,107,107,107
117,108,108,108
118,109,109,109
119,110,110,110
120,110,110,110
121,111,111,111
122,112,112,112
123,113,113,113
124,114,114,114
125,115,115,115
126,116,116,116
127,117,117,117
128,118,118,118
129,119,119,119
130,120,120,120
131,121,121,121
132,121,121,121
133,122,122,122
134,123,123,123
135,124,124,124
136,125,125,125
137,126,126,126
138,127,127,127
139,128,128,128
140,129,129,129
141,130,130,130
142,131,131,131
143,132,132,132
144,132,132,132
145,133,133,133
146,134,134,134
147,135,135,135
148,136,136,136
149,137,137,137
150,151,151,151
151,152,152,152
152,153,153,153
153,154,154,154
154,154,154,154
155,155,155,155
156,156,156,156
157,157,157,157
158,158,158,158
159,159,159,159
160,161,161,161
161,162,162,162
162,163,163,163
163,164,164,164
164,165,165,165
165,166,166,166
166,166,166,166
167,167,167,167
168,168,168,168
169,169,169,169
170,171,171,171
171,172,172,172
172,173,173,173
173,174,174,174
174,175,175,175
175,176,176,176
176,177,177,177
177,177,177,177
178,178,178,178
179,179,179,179
180,181,181,181
181,182,182,182
182,183,183,183
183,184,184,184
184,185,185,185
185,186,186,186
186,187,187,187
187,188,188,188
188,188,188,188
189,189,189,189
190,191,191,191
191,192,192,192
192,193,193,193
193,194,194,194
194,195,195,195
195,196,196,196
196,197,197,197
197,198,198,198
198,199,199,199
199,199,199,199
200,201,201,201
201,202,202,202
202,203,203,203
203,204,204,204
204,205,205,205
205,206,206,206
206,207,207,207
207,208,208,208
208,209,209,209
209,210,210,210
210,211,211,211
211,212,212,212
212,213,213,213
213,214,214,214
214,215,215,215
215,216,216,216
216,217,217,217
217,218,218,218
218,219,219,219
219,220,220,220
220,221,221,221
221,222,222,222
222,223,223,223
223,224,224,224
224,225,225,225
225,226,226,226
226,227,227,227
227,228,228,228
228,229,229,229
229,230,230,230
230,232,232,232
231,232,232,232
232,233,233,233
233,234,234,234
234,235,235,235
235,236,236,236
236,237,237,237
237,238,238,238
238,239,239,239
239,240,240,240
240,242,242,242
241,243,243,243
242,244,244,244
243,244,244,244
244,244,244,244
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
