Index,Red,Green,Blue
0,5,2,1
1,6,2,1
2,8,3,1
3,10,4,1
4,12,4,1
5,14,5,1
6,16,6,1
7,18,7,1
8,20,7,1
9,22,8,1
10,24,9,1
11,26,10,2
12,28,10,2
13,30,11,2
14,32,12,2
15,34,13,2
16,36,13,2
17,38,14,2
18,40,15,2
19,42,15,2
20,44,16,2
21,46,17,2
22,48,18,3
23,50,18,3
24,52,19,3
25,54,20,3
26,56,21,3
27,58,21,3
28,60,22,3
29,62,23,3
30,64,24,3
31,66,24,3
32,68,25,4
33,69,26,4
34,71,26,4
35,73,27,4
36,75,28,4
37,77,29,4
38,79,29,4
39,81,30,4
40,83,31,4
41,85,32,4
42,87,32,4
43,89,33,5
44,91,34,5
45,93,35,5
46,95,35,5
47,97,36,5
48,99,37,5
49,101,37,5
50,103,38,5
51,105,39,5
52,107,40,5
53,109,40,5
54,111,41,6
55,113,42,6
56,115,43,6
57,117,43,6
58,119,44,6
59,121,45,6
60,123,46,6
61,125,46,6
62,126,47,6
63,127,48,6
64,128,49,7
65,129,51,7
66,130,52,7
67,131,53,8
68,132,55,8
69,133,56,8
70,134,57,9
71,135,58,9
72,137,60,9
73,138,61,10
74,139,62,10
75,140,64,10
76,141,65,11
77,142,66,11
78,143,67,11
79,144,69,12
80,145,70,12
81,146,71,12
82,148,73,13
83,149,74,13
84,150,75,14
85,151,76,14
86,152,78,14
87,153,79,15
88,154,80,15
89,155,82,15
90,156,83,16
91,157,84,16
92,158,85,16
93,160,87,17
94,161,88,17
95,162,89,17
96,163,91,18
97,164,92,18
98,165,93,18
99,166,94,19
100,167,96,19
101,168,97,19
102,169,98,20
103,171,100,20
104,172,101,20
105,173,102,21
106,174,103,21
107,175,105,22
108,176,106,22
109,177,107,22
110,178,109,23
111,179,110,23
112,180,111,23
113,181,112,24
114,183,114,24
115,184,115,24
116,185,116,25
117,186,118,25
118,187,119,25
119,188,120,26
120,189,121,26
121,190,123,26
122,191,124,27
123,192,125,27
124,194,127,27
125,195,128,28
126,196,129,28
127,197,130,28
128,198,132,29
129,199,133,29
130,200,134,30
131,201,136,30
132,202,137,30
133,203,138,31
134,204,139,31
135,206,141,31
136,207,142,32
137,208,143,32
138,209,145,32
139,210,146,33
140,211,147,33
141,212,148,33
142,213,150,34
143,214,151,34
144,215,152,34
145,217,154,35
146,218,155,35
147,219,156,35
148,220,157,36
149,221,159,36
150,222,160,36
151,223,161,37
152,224,163,37
153,225,164,38
154,226,165,38
155,227,166,38
156,229,168,39
157,230,169,39
158,231,170,39
159,232,172,40
160,233,173,40
161,234,174,40
162,235,175,41
163,236,177,41
164,237,178,41
165,238,179,42
166,240,181,42
167,241,182,42
168,242,183,43
169,243,184,43
170,244,186,43
171,245,187,44
172,246,188,44
173,247,190,44
174,248,191,45
175,249,192,45
176,253,197,49
177,253,198,52
178,253,198,54
179,253,199,57
180,253,200,59
181,253,200,62
182,253,201,64
183,253,202,67
184,253,203,69
185,253,203,72
186,253,204,74
187,253,205,76
188,253,205,79
189,253,206,81
190,253,207,84
191,253,207,86
192,253,208,89
193,253,209,91
194,253,209,94
195,253,210,96
196,253,211,99
197,253,211,101
198,253,212,104
199,253,213,106
200,253,213,109
201,253,214,111
202,253,215,113
203,253,215,116
204,253,216,118
205,253,217,121
206,253,217,123
207,253,218,126
208,253,219,128
209,253,220,131
210,253,220,133
211,253,221,136
212,253,222,138
213,253,222,141
214,253,223,143
215,253,224,145
216,253,224,148
217,253,225,150
218,253,226,153
219,253,226,155
220,253,227,158
221,253,228,160
222,253,228,163
223,253,229,165
224,253,230,168
225,253,230,170
226,253,231,173
227,253,232,175
228,253,232,178
229,253,233,180
230,253,234,182
231,253,234,185
232,253,235,187
233,253,236,190
234,253,237,192
235,253,237,195
236,253,238,197
237,253,239,200
238,253,239,202
239,253,240,205
240,253,241,207
241,253,241,210
242,253,242,212
243,253,243,214
244,253,243,217
245,253,244,219
246,253,245,222
247,253,245,224
248,253,246,227
249,253,247,229
250,253,247,232
251,253,248,234
252,253,249,237
253,253,249,239
254,253,250,242
255,253,251,244
