Index,Red,Green,Blue
0,0,0,0
1,0,1,0
2,1,2,1
3,2,3,2
4,3,4,3
5,4,5,4
6,5,6,5
7,6,7,6
8,7,8,7
9,8,9,8
10,9,10,9
11,10,11,9
12,11,12,10
13,11,13,11
14,12,14,12
15,13,15,13
16,14,16,14
17,15,17,15
18,16,19,16
19,17,20,17
20,18,21,18
21,19,22,18
22,20,23,19
23,21,24,20
24,22,25,21
25,23,26,22
26,23,27,23
27,24,28,24
28,25,29,25
29,26,30,26
30,27,31,27
31,28,32,27
32,29,33,28
33,30,34,29
34,31,35,30
35,32,37,31
36,33,38,32
37,34,39,33
38,35,40,34
39,35,41,35
40,36,42,36
41,37,43,36
42,38,44,37
43,39,45,38
44,40,46,39
45,41,47,40
46,42,48,41
47,43,49,42
48,44,50,43
49,45,51,44
50,46,52,45
51,47,53,45
52,47,54,46
53,48,56,47
54,49,57,48
55,50,58,49
56,51,59,50
57,52,60,51
58,53,61,52
59,54,62,53
60,55,63,54
61,56,64,54
62,57,65,55
63,58,66,56
64,59,67,57
65,59,68,58
66,60,69,59
67,61,70,60
68,62,71,61
69,63,72,62
70,64,74,63
71,65,75,63
72,66,76,64
73,67,77,65
74,68,78,66
75,69,79,67
76,70,80,68
77,70,81,69
78,71,82,70
79,72,83,71
80,73,84,72
81,74,85,72
82,75,86,73
83,76,87,74
84,77,88,75
85,78,89,76
86,79,90,77
87,80,91,78
88,81,93,79
89,82,94,80
90,82,95,81
91,83,96,81
92,84,97,82
93,85,98,83
94,86,99,84
95,87,100,85
96,88,101,86
97,89,102,87
98,90,103,88
99,91,104,89
100,92,105,90
101,93,106,91
102,94,107,91
103,94,108,92
104,95,109,93
105,96,111,94
106,97,112,95
107,98,113,96
108,99,114,97
109,100,115,98
110,101,116,99
111,102,117,100
112,103,118,100
113,104,119,101
114,105,120,102
115,106,121,103
116,106,122,104
117,107,123,105
118,108,124,106
119,109,125,107
120,110,126,108
121,111,127,109
122,112,128,109
123,113,130,110
124,114,131,111
125,115,132,112
126,116,133,113
127,117,134,114
128,118,135,115
129,118,136,116
130,119,137,117
131,120,138,118
132,121,139,118
133,122,140,119
134,123,141,120
135,124,142,121
136,125,143,122
137,126,144,123
138,127,145,124
139,128,146,125
140,129,148,126
141,129,149,127
142,130,150,127
143,131,151,128
144,132,152,129
145,133,153,130
146,134,154,131
147,135,155,132
148,136,156,133
149,137,157,134
150,138,158,135
151,139,159,136
152,140,160,136
153,141,161,137
154,141,162,138
155,142,163,139
156,143,164,140
157,144,165,141
158,145,167,142
159,146,168,143
160,147,168,144
161,148,169,145
162,149,170,146
163,150,171,147
164,151,172,148
165,152,173,149
166,153,173,150
167,154,174,151
168,155,175,152
169,156,176,153
170,157,177,154
171,158,178,155
172,159,178,156
173,160,179,157
174,161,180,158
175,162,181,159
176,163,182,160
177,164,183,161
178,165,183,162
179,166,184,163
180,167,185,164
181,168,186,165
182,169,187,166
183,170,188,167
184,171,188,168
185,172,189,169
186,173,190,170
187,174,191,171
188,175,192,172
189,176,193,173
190,177,193,174
191,178,194,175
192,179,195,177
193,180,196,178
194,181,197,179
195,182,198,180
196,183,198,181
197,184,199,182
198,185,200,183
199,186,201,184
200,187,202,185
201,188,203,186
202,189,203,187
203,190,204,188
204,191,205,189
205,192,206,190
206,193,207,191
207,194,208,192
208,195,208,193
209,196,209,194
210,197,210,195
211,198,211,196
212,199,212,197
213,200,213,198
214,201,213,199
215,202,214,200
216,203,215,201
217,204,216,202
218,205,217,203
219,206,218,204
220,207,218,205
221,208,219,206
222,209,220,207
223,210,221,208
224,211,222,210
225,212,223,211
226,213,223,212
227,214,224,213
228,215,225,214
229,216,226,215
230,217,227,216
231,218,228,217
232,219,228,218
233,220,229,219
234,221,230,220
235,222,231,221
236,223,232,222
237,224,233,223
238,225,233,224
239,226,234,225
240,227,235,226
241,228,236,227
242,229,237,228
243,230,238,229
244,231,238,230
245,232,239,231
246,233,240,232
247,234,241,233
248,235,242,234
249,236,243,235
250,237,243,236
251,238,244,237
252,239,245,238
253,240,246,239
254,241,247,240
255,242,248,241
