Index,Red,Green,Blue
0,5,1,0
1,10,1,0
2,14,1,0
3,16,1,0
4,17,2,0
5,19,2,0
6,21,2,0
7,23,3,0
8,26,3,0
9,27,3,0
10,29,3,0
11,30,3,0
12,32,4,0
13,33,4,0
14,36,4,0
15,38,4,0
16,40,5,0
17,42,5,0
18,43,5,0
19,45,6,0
20,47,6,0
21,48,6,0
22,51,7,1
23,53,8,1
24,54,8,1
25,56,9,1
26,58,10,1
27,59,10,1
28,61,11,1
29,63,13,1
30,65,14,1
31,67,14,1
32,68,15,1
33,70,16,1
34,71,17,1
35,73,17,1
36,74,18,1
37,76,19,1
38,79,20,1
39,80,21,1
40,81,22,1
41,83,24,1
42,85,25,1
43,86,25,1
44,88,26,1
45,90,27,1
46,92,28,2
47,94,29,2
48,95,29,2
49,97,30,2
50,98,31,2
51,99,32,2
52,101,34,2
53,103,36,2
54,104,37,2
55,107,38,2
56,108,39,2
57,109,40,2
58,111,41,2
59,112,42,2
60,114,43,2
61,115,44,2
62,117,45,2
63,119,46,2
64,121,48,2
65,123,49,2
66,124,50,2
67,125,52,2
68,127,53,2
69,129,54,2
70,130,55,3
71,131,56,3
72,132,57,3
73,134,58,3
74,136,59,3
75,137,60,3
76,139,62,4
77,140,63,4
78,141,65,4
79,143,66,4
80,144,67,4
81,145,68,4
82,146,69,4
83,148,70,5
84,150,72,5
85,151,73,5
86,152,73,5
87,154,75,5
88,156,77,6
89,157,78,6
90,158,79,6
91,159,81,6
92,161,82,6
93,163,83,7
94,164,84,8
95,165,85,8
96,166,87,8
97,167,89,9
98,168,91,9
99,169,93,9
100,170,94,10
101,171,96,10
102,171,98,10
103,172,99,11
104,173,100,11
105,174,101,11
106,175,103,12
107,175,105,12
108,177,107,12
109,178,108,13
110,179,110,13
111,180,112,13
112,181,113,14
113,182,115,14
114,183,116,15
115,183,118,15
116,184,119,15
117,186,122,16
118,187,123,16
119,187,123,16
120,188,125,17
121,189,126,17
122,190,127,18
123,192,129,18
124,193,130,19
125,194,131,20
126,195,133,20
127,195,134,21
128,196,136,22
129,197,137,22
130,199,138,23
131,200,139,24
132,200,140,24
133,201,142,24
134,202,143,25
135,203,145,25
136,204,146,26
137,206,147,27
138,207,149,27
139,208,151,28
140,209,152,28
141,210,153,29
142,211,154,30
143,212,156,31
144,213,157,32
145,213,158,32
146,215,160,34
147,216,161,35
148,216,162,36
149,217,164,38
150,218,166,39
151,219,167,40
152,220,168,41
153,222,170,41
154,223,171,42
155,224,172,43
156,225,173,44
157,225,175,45
158,227,177,47
159,228,179,48
160,229,180,49
161,229,181,50
162,230,182,51
163,231,184,52
164,232,185,53
165,233,186,55
166,234,187,57
167,235,189,59
168,235,190,61
169,236,192,63
170,236,194,65
171,237,195,68
172,237,196,70
173,237,197,72
174,238,199,75
175,238,200,76
176,239,201,79
177,239,202,81
178,239,203,83
179,240,205,86
180,240,206,87
181,241,208,89
182,241,210,91
183,242,211,94
184,242,212,96
185,243,213,99
186,243,214,101
187,243,215,103
188,244,217,105
189,244,217,109
190,244,218,112
191,244,218,114
192,245,220,117
193,245,222,121
194,245,222,124
195,246,223,127
196,246,224,130
197,246,225,132
198,247,226,136
199,247,226,139
200,247,226,141
201,247,227,145
202,248,228,148
203,249,228,151
204,249,229,154
205,250,231,157
206,250,232,160
207,250,232,162
208,250,233,166
209,251,235,170
210,251,236,172
211,251,236,175
212,252,237,179
213,252,237,180
214,252,238,183
215,252,239,186
216,252,239,188
217,252,240,192
218,252,241,194
219,252,242,197
220,252,242,200
221,252,243,202
222,252,243,205
223,252,244,207
224,252,244,209
225,252,245,212
226,252,246,215
227,252,246,217
228,252,247,220
229,252,249,223
230,252,250,226
231,252,250,228
232,252,250,231
233,252,251,234
234,252,252,237
235,245,245,245
236,246,246,246
237,247,247,247
238,248,248,248
239,249,249,249
240,250,250,250
241,251,251,251
242,252,252,252
243,253,253,253
244,254,254,254
245,255,255,255
246,255,255,255
247,255,255,255
248,255,255,255
249,255,255,255
250,255,255,255
251,255,255,255
252,255,255,255
253,255,255,255
254,255,255,255
255,255,255,255
